2021-03-03 23:22:57.398 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:24:09.501 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:24:09.553 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:24:37.486 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:24:37.538 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:24:49.810 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:24:53.373 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:25:19.620 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:25:19.672 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:27:18.027 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:27:18.077 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:27:58.976 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:27:59.017 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:28:21.514 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:28:21.553 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:33:35.356 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:33:35.422 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:33:44.639 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:33:44.669 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:34:27.351 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:34:27.403 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:36:55.309 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:36:55.356 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:37:20.935 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:37:25.864 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:38:01.815 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:38:01.870 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:38:11.742 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:38:13.740 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:38:32.237 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:38:44.810 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:38:52.751 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:39:00.054 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:39:19.003 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:39:40.575 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:39:47.895 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:40:04.791 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:40:10.844 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:41:33.824 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:41:38.220 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:41:38.271 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:44:25.328 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:44:48.622 [main] INFO  nyha.task4.service.impl.CompositeServiceImpl [removeSentencesBySpecificValue] -- Sentences with fewer than 19 words have been removed
2021-03-03 23:45:47.324 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
2021-03-03 23:46:31.621 [main] INFO  com.nyha.task4.reader.CustomFileReader [read] -- File data/data.txt was successfully read
